Amplitude,Beyond1Std,Con,MaxSlope,MedianAbsDev,MedianBRP,PairSlopeTrend,Rcs,Skew,SmallKurtosis,Std,StetsonK,Eta_e,Meanvariance,class
1.83402,0.29333,0.0,16161.80666,0.70124,0.49,-0.1,0.18349,0.4085,0.65682,1.01849,0.79437,353.8658,-20.5344,Be_lc
1.74867,0.15667,0.0,11514.75539,0.45637,0.92333,0.03333,0.22827,-4.35826,50.26061,1.15409,0.60909,68.52534,-29.11382,Be_lc
1.5402,0.37667,0.0,69729.03479,0.65235,0.43333,-0.03333,0.35479,0.09142,-0.48456,0.88214,0.83131,3445.63722,-45.15117,Be_lc
2.0067,0.27333,0.0,1866.52462,0.54149,0.64667,-0.1,0.28458,0.33758,2.28373,1.03015,0.73262,13.15555,26.58535,Be_lc
1.56099,0.21333,0.00336,46250.41037,0.49555,0.72,-0.1,0.24476,-0.04285,3.49777,0.80431,0.76615,2780.62211,-11.25076,Be_lc
1.53281,0.24667,0.01007,17943.48801,0.52508,0.56,-0.1,0.32837,-0.27518,2.12017,0.80497,0.76546,537.59578,20.43662,Be_lc
1.32897,0.07333,0.0,10938.84379,0.29926,0.94,0.03333,0.15658,6.60822,65.68355,1.00795,0.50394,75.29719,32.78399,Be_lc
1.66142,0.21,0.00336,33845.5638,0.51654,0.67,0.1,0.21406,1.43317,5.48779,0.91274,0.72493,811.42874,25.2508,Be_lc
1.04948,0.03333,0.0,18885.55167,0.30642,0.98667,-0.1,0.11058,9.60651,109.23029,1.34283,0.36577,130.0977,22.8465,Be_lc
1.89126,0.29,0.00671,61146.98551,0.50526,0.56667,0.03333,0.31956,-0.62981,0.39191,0.98181,0.76411,2465.69068,-34.64969,Be_lc
1.96255,0.17,0.00336,16044.30138,0.43281,0.81667,0.03333,0.15166,2.65896,14.80523,1.03028,0.66091,315.38163,-28.62289,Be_lc
1.71522,0.31333,0.0,22657.96103,0.75811,0.59,0.1,0.34358,-0.36358,2.36323,1.00112,0.81139,364.93307,-66.63879,Be_lc
1.61398,0.2,0.0,319882.81006,0.62197,0.77,0.03333,0.29722,-1.03572,9.48399,0.94554,0.7469,58035.35906,-15.16028,Be_lc
1.82568,0.31333,0.0,84513.56136,0.38672,0.69333,-0.16667,0.28876,-0.43196,1.95743,0.93139,0.70993,4434.39159,180.63192,Be_lc
1.47656,0.12667,0.0,73600.85803,0.31584,0.94667,0.16667,0.14654,-3.25751,34.53362,1.00909,0.54764,2714.59347,-14.40492,Be_lc
1.64685,0.34,0.0,10230.57303,0.67661,0.53,0.1,0.36432,0.65124,3.2382,1.01987,0.79633,191.47937,83.48782,Be_lc
1.7435,0.30667,0.0,104997.78812,0.61451,0.46,-0.23333,0.24496,0.3367,0.09026,0.89332,0.79988,7351.87329,19.83981,Be_lc
1.9094,0.15667,0.0,42725.58291,0.49516,0.83667,-0.03333,0.15939,2.80039,19.19629,1.12317,0.62731,1193.1784,-70.30489,Be_lc
1.86076,0.32667,0.0,118712.35476,0.6784,0.42333,0.03333,0.33935,0.15619,-0.01744,0.94648,0.80972,9603.70344,29.4733,Be_lc
1.85103,0.21667,0.0,26836.70569,0.53051,0.78667,-0.16667,0.15936,-0.15826,6.29001,1.03009,0.68811,552.96652,-42.47279,Be_lc
1.76324,0.31667,0.0,28138.72411,0.75085,0.29667,-0.1,0.36631,0.38456,-0.63003,0.97336,0.84137,540.30684,-24.70791,Be_lc
1.05604,0.08,0.0,15912.26645,0.42005,0.97667,0.1,0.22087,5.50906,76.41114,0.92063,0.57008,178.60329,-22.9938,Be_lc
2.05439,0.26333,0.0,69750.99121,0.75084,0.70667,-0.03333,0.34231,0.27313,3.25923,1.10246,0.77314,2439.32604,58.18097,Be_lc
1.36348,0.20667,0.0,62178.58428,0.57496,0.82,0.03333,0.27076,-1.74724,12.12438,0.86057,0.73697,4239.75373,158.74627,Be_lc
1.74828,0.24333,0.0,22331.7626,0.52903,0.72,0.03333,0.35517,2.5439,15.93918,1.05802,0.73292,279.43606,24.27704,Be_lc
1.70952,0.35333,0.0,7767.44213,0.57994,0.45333,0.03333,0.39151,-0.11359,-0.4476,0.98769,0.83162,63.60211,19.07147,Be_lc
1.73117,0.23667,0.0,50401.07848,0.62448,0.89,-0.03333,0.30575,1.92957,20.51162,1.04295,0.71711,1106.06514,12.41946,Be_lc
2.05824,0.23667,0.00336,64907.76354,0.47983,0.84,-0.1,0.2962,0.66997,9.99811,1.09674,0.67182,1694.77464,58.21105,Be_lc
1.94403,0.30333,0.0,22540.37459,0.61322,0.66333,-0.03333,0.16886,-0.45338,1.92276,0.9738,0.76626,346.26676,-17.58344,Be_lc
1.7151,0.26667,0.0,22999.79115,0.55762,0.61667,-0.23333,0.31465,0.40676,2.72099,0.96232,0.75512,423.74982,-62.67945,Be_lc
1.3975,0.34333,0.0,15032.77484,0.52706,0.48667,-0.03333,0.40451,0.2599,-0.32572,0.84753,0.85923,201.12596,-20.91641,Be_lc
