#Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp stetson_J stetson_J_comp stetson_K stetson_K_comp skew skew_comp kurt kurt_comp std std_comp beyond1_std beyond1_std_comp max_slope max_slope_comp amplitude amplitude_comp med_abs_dev med_abs_dev_comp label
11.9358.200 -0.0118841823829 0.745896748091 1.21879732933 0.690672861194 0.596792588682 0.729864892611 0.290370829737 0.806109118818 0.0419318181818 0.768838171345 0.681735649328 0.714379003787 0.698570606125 0.649626734239 0.524315145125 0.81956635539 6.21537130328e+14 0.841059847263 0.0721309369349 0.738211904061 0.218181818182 0.737310237615 7.72281362157 0.718518518519 0.667 0.754804314809 0.0325 0.657191613101 2
11.9714.184 -0.0112226438418 0.829716857405 1.55611750969 0.840099726976 0.905629523117 0.7947885672 0.175228037209 0.720320314872 0.122452173913 0.822448331495 0.906493563747 0.794966593839 0.79723937196 0.746826417238 0.270720487015 0.83959315011 1.21942332907e+15 0.667294485731 0.0640199621481 0.82907069428 0.182608695652 0.783937397519 0.991991483382 0.811140128325 0.605 0.843843517595 0.0365 0.749365978897 2
11.9720.68 -0.00323520481294 0.645198214144 1.82358683702 0.69232066468 0.413607975592 0.76299964182 0.095146085227 0.644465147974 -0.0668363636364 0.651254402933 0.543016406699 0.768460854577 0.607825399842 0.746663690052 1.5185397288 0.631652574011 4.25492236912e+15 0.584070482048 0.0247430228751 0.645437550411 0.109090909091 0.713996044418 5.41359895889 -0.142857142857 0.189 0.640743617762 0.0095 0.655956500247 2
12.10561.1161 -0.00858272552962 0.718630043757 1.98904517313 0.687211650086 0.0988914666115 0.825380219784 0.131252395091 0.903607180616 -0.129026315789 0.551353335954 0.115166670734 0.80342353685 0.685227677876 0.871876009431 -2.37167131383 0.916654126646 3.23180191212e+15 0.849936529112 0.0539079635348 0.722530121819 0.142105263158 0.919186247012 8.71443468047 0.844604494775 0.587 0.884175636688 0.021 0.858782231787 2
12.10684.267 -0.0123361891088 0.821639194464 1.92159255394 0.768342058555 0.353904586427 0.734810236089 0.0981678450459 0.762207159506 -0.166055555556 0.820570377627 0.40194945629 0.681671330599 0.702615355113 0.636233509188 1.43543796475 0.809744894337 2.51928849686e+14 0.803083551937 0.0723420857751 0.824813621895 0.205555555556 0.893356128519 5.22132813409 0.413301146164 0.507 0.877543679071 0.0275 0.866310539292 2
12.10926.76 -0.00366109731981 0.646512756786 1.17431855258 0.578302296356 0.50439683941 0.739505738611 0.309724455506 0.513512416058 -0.0606277777778 0.751251575475 0.510417260802 0.730255068925 0.78858751214 0.776178347005 0.196722181994 0.638657444241 6.54634376623e+15 0.628073985447 0.0261788594402 0.645677888011 0.283333333333 0.759777057803 1.35828554211 0.762605632204 0.138 0.200252574738 0.0175 0.621052230077 2
13.6689.2365 -0.00559272075419 0.775618131002 1.82522587172 0.595765572632 0.564581576196 0.71211295747 0.110983399022 0.597021426805 -0.2837 0.643275282026 0.627895769868 0.715770466217 0.717533258584 0.732126750425 1.54572498051 0.513402790651 4.37017797842e+14 0.688140128083 0.0373371156094 0.776376216455 0.23 0.750255384913 1.96367206632 1.0 0.265 0.533333333333 0.0215 0.608234714004 2
13.6931.2479 -0.00966477458513 0.422471146336 0.376499054005 0.504091635948 2.13777717526 0.324518023773 0.429855752269 0.403855588564 -0.35661 0.525008914997 1.99602220978 0.285740511119 0.854672947776 0.388418719481 0.212691488496 0.751051002605 9.53973883596e+12 0.756853716606 0.0661922048264 0.419188061388 0.36 0.581779762483 3.13807531427 0.805555555556 0.263 0.411125222972 0.057 0.634982638889 2
14.8493.39 -0.00774652459744 0.228209493464 0.330967395385 0.521498049747 7.26943555333 0.469274105599 0.439144008713 0.338847280012 -0.212866666667 0.558861288766 6.89362768458 0.4607195262 0.841503173218 0.701568905973 0.222947315733 0.51294759883 2.71472664273e+13 0.746193363933 0.0604680153658 0.230530108162 0.366666666667 0.557779567355 0.218448312313 -0.125 0.243 0.510880148403 0.0535 0.763467689942 2
14.8622.3551 -0.00521323147267 0.870905004773 1.7134696657 0.726694087682 0.141845563197 0.69934125796 0.19914375058 0.638953555601 -0.494557894737 0.663117265289 0.148630087493 0.700818644379 0.76157365807 0.776976881789 -0.872962939532 0.82474696297 9.91198613753e+15 0.791411691647 0.0356481865623 0.870732421535 0.194736842105 0.559497321408 10.4915142182 -0.0666666666667 0.394 0.847619047619 0.02 0.818013605442 2
