Amplitude;Beyond1Std;Con;MaxSlope;MedianAbsDev;MedianBRP;PairSlopeTrend;Rcs;Skew;SmallKurtosis;Std;StestonK;VariabilityIndex;class;meanvariance
182.46;76.70;;23666.53;53.12;40.44;103.33;75.61;76.93;221.35;16.92;26.06;0.74;quasar_lc;1808.82
267.59;76.00;97.96;42971.20;55.98;31.55;103.33;71.97;38.44;401.86;0.90;32.00;19.95;quasar_lc;1495.75
96.50;71.83;;87652.06;58.12;37.73;96.67;67.71;57.81;53.51;20.65;24.45;18.71;quasar_lc;4452.47
138.71;68.94;;33151.76;49.20;44.64;110.00;80.70;27.79;99.25;21.74;22.37;29.39;quasar_lc;1261.16
163.49;77.00;;48665.78;48.82;45.00;96.67;63.20;4.62;111.46;11.27;26.05;59.97;quasar_lc;1150.70
213.24;70.15;;21765.64;61.20;34.77;103.33;74.95;85.64;528.42;6.67;25.32;60.88;quasar_lc;4179.00
565.90;133.15;;66760.04;53.46;2.87;96.67;111.22;272.55;2006.59;42.63;60.46;54.55;quasar_lc;19594.87
68.62;59.00;;59146.46;39.16;73.00;130.00;59.17;154.44;192.05;26.08;15.60;68.07;quasar_lc;3724.71
294.02;90.00;;194129.29;59.85;23.39;103.33;87.02;238.40;725.94;10.25;38.92;74.71;quasar_lc;2915.45
412.82;130.00;;21389.66;40.68;10.87;83.33;76.62;229.07;1628.75;30.32;40.06;13.37;quasar_lc;801.02
64.91;75.45;;708935.42;55.79;62.00;23.33;64.20;61.39;97.54;32.24;19.49;22.57;quasar_lc;1770.96
138.39;88.50;;82236.26;49.82;44.49;96.67;67.35;44.90;29.28;13.38;24.68;31.91;quasar_lc;1533.49
120.41;60.00;;480486.91;25.34;74.00;96.67;58.25;58.67;168.59;3.90;15.49;75.19;quasar_lc;8825.28
396.15;79.91;;46719.85;71.60;14.00;43.33;81.96;35.71;1080.60;16.37;49.19;55.73;quasar_lc;3067.79
241.80;78.00;;229867.33;70.48;23.00;96.67;87.20;76.94;649.01;10.78;36.35;74.75;RRL;828.21
