Macho_id Sigma_B Sigma_B_comp Eta_B Eta_B_comp stetson_L_B stetson_L_B_comp CuSum_B CuSum_B_comp B-R B-R_comp stetson_J stetson_J_comp stetson_K stetson_K_comp skew skew_comp kurt kurt_comp std std_comp beyond1_std beyond1_std_comp max_slope max_slope_comp amplitude amplitude_comp med_abs_dev med_abs_dev_comp class
13.6689.2365 -0.00604619090745 0.569439071197 1.69527416672 0.568355182976 0.536719274763 0.645377340834 0.105148211375 0.474130214004 -0.281429411765 0.690256727731 0.584798540512 0.588049368582 0.732392356667 0.530134409235 1.1567305373 0.627669932015 1.71165102376e+15 0.257312713203 0.0403424619475 0.564816126065 0.264705882353 0.712499321626 1.96367206632 0.461538461538 0.265 0.846153846154 0.0235 0.713286713287 2
13.6931.2479 -0.00897700263364 0.65058778759 0.521449973338 0.736240002649 1.52663597919 0.451363345368 0.401639553949 0.666610766294 -0.33471875 0.46521024693 1.51966146567 0.426540046522 0.801662435297 0.391264266194 -0.126156650018 0.499688074064 9.19294364867e+13 0.166934113519 0.0613644896466 0.649492169457 0.38125 0.652727307417 3.13807531427 0.916666666667 0.263 0.670689655172 0.047 0.536290322581 2
14.8493.39 -0.00888514411882 0.646126026928 0.231940578334 0.756495832924 7.39863315469 0.644806416428 0.406402502041 0.684051364581 -0.22123 0.46763717866 7.68001388284 0.62259768774 0.768762836566 0.642058439513 -0.412851890779 0.583914700462 1.30430238904e+14 0.588231090784 0.0690074491647 0.649473070898 0.34 0.507795770879 0.218448312313 1.0 0.292 0.677863436123 0.0455 0.580357142857 2
14.8622.3551 -0.00479258840404 0.844499466319 1.59914819343 0.542400069672 0.127823197532 0.665762653337 0.172035217334 0.741735225236 -0.492297142857 0.500565571367 0.136028347474 0.661634746275 0.749865109179 0.695352144957 -0.768417550521 0.609954555695 1.46465489847e+17 0.189466690577 0.0327466885023 0.84291072198 0.205714285714 0.541924082899 10.4915142182 1.0 0.394 0.548387096774 0.0175 0.706451612903 2
14.8863.660 -0.0077752732644 0.3335573442 0.633969942663 0.541810813839 2.04765846305 0.388850758688 0.370995989626 0.543083822829 -0.230254285714 0.811992718136 2.25739575918 0.394876455423 0.723856881043 0.631795550078 0.222681313326 0.583098373572 6.04681976621e+15 0.424324973138 0.0533347313229 0.333339341958 0.3 0.536623543267 12.4159337846 0.871581762315 0.383 0.421087709944 0.0345 0.422119815668 2
14.9587.87 -0.0100352702208 0.541766724394 1.20247371072 0.540206356518 2.89573491671 0.555142053548 0.247743946237 0.560172042912 -0.154238888889 0.534786697275 3.32269964496 0.593347653823 0.695457522633 0.702354931743 1.50484282116 0.735730583473 3.05066143515e+14 0.169050260085 0.073061171576 0.543204753049 0.227777777778 0.538604583247 8.69115364919 1.0 0.571 0.519841269841 0.042 0.558139534884 2
17.2102.357 -0.0170688915494 0.354278459475 0.928105124627 0.626146648118 1.17980747798 0.518072126722 0.308510526611 0.579209427831 -0.481518181818 0.408866359887 1.26085807487 0.564873014671 0.746702889246 0.446597762267 0.27867473394 0.665893201988 5.10415792795e+12 0.143139101748 0.0956815336411 0.33742099733 0.327272727273 0.625731688024 0.467805089644 1.0 0.481 1.0 0.0695 0.536082474227 2
17.2105.71 -0.00666331840237 0.61817165888 0.389439708791 0.658203370874 3.7829020911 0.608664580742 0.409733211172 0.70121386918 -0.2846 0.593255152905 3.73008788848 0.619698439523 0.809298858084 0.655024437908 0.670892756723 0.455507640986 5.24487542647e+14 0.201153279282 0.0471227286125 0.618195688659 0.377777777778 0.611660116519 0.902323484067 0.428571428571 0.208 0.725218658892 0.0285 0.469047619048 2
17.2108.72 -0.00450956798196 0.719409966633 1.07164855686 0.753854412722 2.00912395551 0.548210541937 0.317462582797 0.784439685699 -0.194923529412 0.54531364838 2.196484433 0.592778421252 0.729930470898 0.546868724194 0.754642808961 0.696989234823 3.44706492294e+15 0.190358191934 0.0331848497044 0.719203537193 0.252941176471 0.774370095195 1.2979683973 0.0876026951749 0.233 0.756885090218 0.0205 0.573426573427 2
17.2109.108 -0.0113089865048 0.558102107795 0.202606107435 0.791088264969 2.48680715162 0.722342130344 0.375555389282 0.645648422185 -0.369717647059 0.693410351347 2.66102281564 0.740843267096 0.745755389742 0.627243610928 -0.261446362266 0.662896418978 3.88017776287e+13 0.339050164233 0.0823836383665 0.561661235676 0.394117647059 0.609424142291 1.52967570875 0.0664570407912 0.351 0.524808524809 0.0575 0.70405982906 2
